CODE,PRJ_LETTER_GRADE,SB_UID,SB_STATE,sbName,execount,observed,C34_1,C34_2,C34_3,C34_4,C34_5,C34_6,C34_7
2013.1.00553.S,B,uid://A001/X145/X3e3,FullyObserved,BN-KL_d_06_TE,1,1.0,1,0,0,0,0,0,0
2013.1.00553.S,B,uid://A001/X145/X3e4,FullyObserved,BN-KL_e_06_TE,1,1.0,1,0,0,0,0,0,0
2013.1.00922.S,B,uid://A001/X122/X4e0,Ready,SSA22-LA_a_07_TE,1,0.0,0,1,1,1,0,0,0
2013.1.00922.S,B,uid://A001/X122/X4e1,FullyObserved,SSA22-LA_a_03_TE,1,2.0,0,1,1,1,1,1,0
2013.1.01332.S,C,uid://A001/X144/X7d,Ready,VV_219_a_03_TE,2,0.0,0,0,0,1,0,0,0
2012.1.00624.S,B,uid://A002/X684eb5/Xf7,Ready,Neptune_C18O_B7_12m,1,0.0,1,0,0,0,0,0,0
2012.1.00624.S,B,uid://A002/X684eb5/Xf8,Ready,Neptune_HC15N_B7_12m,1,0.0,1,0,0,0,0,0,0
2013.1.00196.S,B,uid://A001/X144/X26,Ready,TW_Hya_a_07_TE,3,1.0,0,1,1,1,0,0,0
2013.1.00798.S,B,uid://A001/X122/X5d9,Ready,Im_Lupi_a_06_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00798.S,B,uid://A001/X122/X5da,Ready,Im_Lupi_a_03_TE,1,0.0,0,0,0,0,0,1,1
2013.1.00465.S,B,uid://A001/X148/X4a,FullyObserved,J041757_a_06_TE,2,2.0,0,1,0,0,0,0,0
2013.1.01155.S,B,uid://A001/X135/X1,Ready,J72.9711_a_06_TE,1,0.0,0,0,0,0,0,0,1
2013.1.01155.S,B,uid://A001/X135/X2,FullyObserved,J72.9711_a_06_TC,1,1.0,0,1,1,0,0,0,0
2013.1.01155.S,B,uid://A001/X13f/X173,Suspended,J72.9711_b_06_TE,1,0.0,0,0,0,0,0,0,1
2013.1.01155.S,B,uid://A001/X13f/X174,FullyObserved,J72.9711_b_06_TC,1,1.0,0,1,1,0,0,0,0
2013.1.00569.S,B,uid://A001/X12e/X75,Ready,SDP17b_a_07_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00569.S,B,uid://A001/X12e/X76,Ready,SDP17b_b_07_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00569.S,B,uid://A001/X12e/X77,Ready,SDP17b_a_06_TE,2,0.0,0,0,0,0,0,1,0
2013.1.00114.S,B,uid://A001/X12f/X10,FullyObserved,TW_Hya_a_06_TE,1,1.0,0,0,0,1,1,1,0
2013.1.01389.S,C,uid://A001/X144/Xb2,Phase2Submitted,G331.512_a_03_TE,1,0.0,0,0,0,1,1,1,0
2013.1.01389.S,C,uid://A001/X144/Xb3,Phase2Submitted,G331.512_b_03_TE,1,0.0,0,0,0,1,1,1,0
2013.1.01389.S,C,uid://A001/X144/Xb4,Phase2Submitted,G331.512_c_03_TE,1,0.0,0,0,1,1,1,1,0
2013.1.01389.S,C,uid://A001/X144/Xb5,Phase2Submitted,G331.512_d_03_TE,1,0.0,0,0,1,1,1,1,0
2013.1.01389.S,C,uid://A001/X144/Xb6,Phase2Submitted,G331.512_e_03_TE,1,0.0,0,0,0,1,1,1,0
2013.1.01389.S,C,uid://A001/X144/Xb7,Phase2Submitted,G331.512_a_09_TE,1,0.0,1,0,0,0,0,0,0
2013.1.00877.S,B,uid://A001/X12a/X1b,Ready,ESO507-G_a_07_TE,1,0.0,0,0,0,0,0,1,0
2013.1.00877.S,B,uid://A001/X12a/X1c,Ready,IRAS0136_a_07_TE,1,0.0,0,0,0,0,0,1,0
